  t[s]	          x1[m]	        x2[m/s]	        x3[rad]	      x4[rad/s]	        F[N]
  1.44	+1.24152682e-01	-1.52533194e-01	+2.52800106e-03	+2.96352137e-02	-1.043171e-01
  1.45	+1.22627374e-01	-1.51960872e-01	+2.82432057e-03	+2.88522657e-02	-1.020480e-01
  1.46	+1.21107790e-01	-1.51363926e-01	+3.11281108e-03	+2.80807758e-02	-9.980776e-02
  1.47	+1.19594177e-01	-1.50743103e-01	+3.39358716e-03	+2.73206707e-02	-9.759632e-02
  1.48	+1.18086773e-01	-1.50099135e-01	+3.66676267e-03	+2.65718752e-02	-9.541351e-02
  1.49	+1.16585809e-01	-1.49432743e-01	+3.93245068e-03	+2.58343125e-02	-9.325918e-02
  1.50	+1.15091510e-01	-1.48744636e-01	+4.19076354e-03	+2.51079042e-02	-9.113318e-02
  1.51	+1.13604094e-01	-1.48035512e-01	+4.44181277e-03	+2.43925708e-02	-8.903537e-02
  1.52	+1.12123769e-01	-1.47306057e-01	+4.68570912e-03	+2.36882311e-02	-8.696558e-02
  1.53	+1.10650739e-01	-1.46556944e-01	+4.92256254e-03	+2.29948029e-02	-8.492367e-02
  1.54	+1.09185202e-01	-1.45788837e-01	+5.15248212e-03	+2.23122028e-02	-8.290947e-02
  1.55	+1.07727346e-01	-1.45002387e-01	+5.37557615e-03	+2.16403463e-02	-8.092283e-02
  1.56	+1.06277356e-01	-1.44198236e-01	+5.59195206e-03	+2.09791480e-02	-7.896357e-02
  1.57	+1.04835408e-01	-1.43377012e-01	+5.80171642e-03	+2.03285216e-02	-7.703153e-02
  1.58	+1.03401673e-01	-1.42539335e-01	+6.00497496e-03	+1.96883797e-02	-7.512654e-02
  1.59	+1.01976315e-01	-1.41685812e-01	+6.20183252e-03	+1.90586345e-02	-7.324843e-02
  1.60	+1.00559493e-01	-1.40817041e-01	+6.39239305e-03	+1.84391973e-02	-7.139703e-02
  1.61	+9.91513594e-02	-1.39933607e-01	+6.57675963e-03	+1.78299785e-02	-6.957214e-02
  1.62	+9.77520607e-02	-1.39036089e-01	+6.75503445e-03	+1.72308884e-02	-6.777361e-02
  1.63	+9.63617378e-02	-1.38125050e-01	+6.92731879e-03	+1.66418362e-02	-6.600125e-02
  1.64	+9.49805258e-02	-1.37201047e-01	+7.09371302e-03	+1.60627311e-02	-6.425486e-02
  1.65	+9.36085543e-02	-1.36264626e-01	+7.25431661e-03	+1.54934814e-02	-6.253427e-02
  1.66	+9.22459476e-02	-1.35316321e-01	+7.40922811e-03	+1.49339953e-02	-6.083930e-02
  1.67	+9.08928243e-02	-1.34356659e-01	+7.55854515e-03	+1.43841805e-02	-5.916974e-02
  1.68	+8.95492982e-02	-1.33386155e-01	+7.70236444e-03	+1.38439445e-02	-5.752541e-02
  1.69	+8.82154775e-02	-1.32405315e-01	+7.84078177e-03	+1.33131942e-02	-5.590612e-02
  1.70	+8.68914656e-02	-1.31414635e-01	+7.97389198e-03	+1.27918366e-02	-5.431167e-02
  1.71	+8.55773610e-02	-1.30414604e-01	+8.10178901e-03	+1.22797783e-02	-5.274187e-02
  1.72	+8.42732570e-02	-1.29405697e-01	+8.22456583e-03	+1.17769257e-02	-5.119652e-02
  1.73	+8.29792424e-02	-1.28388384e-01	+8.34231452e-03	+1.12831853e-02	-4.967542e-02
  1.74	+8.16954013e-02	-1.27363125e-01	+8.45512617e-03	+1.07984633e-02	-4.817837e-02
  1.75	+8.04218130e-02	-1.26330368e-01	+8.56309097e-03	+1.03226657e-02	-4.670518e-02
  1.76	+7.91585527e-02	-1.25290555e-01	+8.66629817e-03	+9.85569871e-03	-4.525563e-02
  1.77	+7.79056907e-02	-1.24244119e-01	+8.76483606e-03	+9.39746836e-03	-4.382952e-02
  1.78	+7.66632934e-02	-1.23191483e-01	+8.85879201e-03	+8.94788075e-03	-4.242666e-02
  1.79	+7.54314227e-02	-1.22133063e-01	+8.94825244e-03	+8.50684199e-03	-4.104684e-02
  1.80	+7.42101364e-02	-1.21069264e-01	+9.03330283e-03	+8.07425827e-03	-3.968984e-02
  1.81	+7.29994883e-02	-1.20000485e-01	+9.11402773e-03	+7.65003587e-03	-3.835546e-02
  1.82	+7.17995282e-02	-1.18927115e-01	+9.19051076e-03	+7.23408115e-03	-3.704351e-02
  1.83	+7.06103019e-02	-1.17849536e-01	+9.26283458e-03	+6.82630065e-03	-3.575375e-02
  1.84	+6.94318516e-02	-1.16768122e-01	+9.33108093e-03	+6.42660102e-03	-3.448600e-02
  1.85	+6.82642156e-02	-1.15683237e-01	+9.39533061e-03	+6.03488914e-03	-3.324004e-02
  1.86	+6.71074285e-02	-1.14595240e-01	+9.45566351e-03	+5.65107203e-03	-3.201566e-02
  1.87	+6.59615216e-02	-1.13504479e-01	+9.51215856e-03	+5.27505700e-03	-3.081264e-02
  1.88	+6.48265224e-02	-1.12411297e-01	+9.56489378e-03	+4.90675154e-03	-2.963079e-02
  1.89	+6.37024550e-02	-1.11316028e-01	+9.61394626e-03	+4.54606343e-03	-2.846988e-02
  1.90	+6.25893404e-02	-1.10218999e-01	+9.65939218e-03	+4.19290074e-03	-2.732971e-02
  1.91	+6.14871962e-02	-1.09120529e-01	+9.70130678e-03	+3.84717179e-03	-2.621007e-02
  1.92	+6.03960368e-02	-1.08020930e-01	+9.73976440e-03	+3.50878527e-03	-2.511074e-02
  1.93	+5.93158733e-02	-1.06920506e-01	+9.77483845e-03	+3.17765015e-03	-2.403152e-02
  1.94	+5.82467141e-02	-1.05819557e-01	+9.80660145e-03	+2.85367577e-03	-2.297219e-02
  1.95	+5.71885644e-02	-1.04718372e-01	+9.83512500e-03	+2.53677184e-03	-2.193254e-02
  1.96	+5.61414266e-02	-1.03617235e-01	+9.86047980e-03	+2.22684842e-03	-2.091236e-02
  1.97	+5.51053001e-02	-1.02516422e-01	+9.88273566e-03	+1.92381598e-03	-1.991144e-02
  1.98	+5.40801818e-02	-1.01416205e-01	+9.90196147e-03	+1.62758539e-03	-1.892958e-02
  1.99	+5.30660655e-02	-1.00316846e-01	+9.91822526e-03	+1.33806793e-03	-1.796655e-02
  2.00	+5.20629428e-02	-9.92186029e-02	+9.93159415e-03	+1.05517533e-03	-1.702214e-02
  2.01	+5.10708025e-02	-9.81217255e-02	+9.94213439e-03	+7.78819735e-04	-1.609616e-02
  2.02	+5.00896309e-02	-9.70264581e-02	+9.94991134e-03	+5.08913769e-04	-1.518839e-02
  2.03	+4.91194118e-02	-9.59330385e-02	+9.95498949e-03	+2.45370514e-04	-1.429862e-02
  2.04	+4.81601269e-02	-9.48416984e-02	+9.95743248e-03	-1.18964715e-05	-1.342664e-02
  2.05	+4.72117553e-02	-9.37526632e-02	+9.95730305e-03	-2.62973137e-04	-1.257224e-02
  2.06	+4.62742740e-02	-9.26661526e-02	+9.95466311e-03	-5.07944933e-04	-1.173523e-02
  2.07	+4.53476576e-02	-9.15823800e-02	+9.94957370e-03	-7.46896803e-04	-1.091538e-02
  2.08	+4.44318788e-02	-9.05015533e-02	+9.94209502e-03	-9.79913171e-04	-1.011249e-02
  2.09	+4.35269082e-02	-8.94238745e-02	+9.93228642e-03	-1.20707793e-03	-9.326369e-03
  2.10	+4.26327142e-02	-8.83495400e-02	+9.92020642e-03	-1.42847445e-03	-8.556799e-03
  2.11	+4.17492634e-02	-8.72787406e-02	+9.90591268e-03	-1.64418553e-03	-7.803579e-03
  2.12	+4.08765205e-02	-8.62116615e-02	+9.88946207e-03	-1.85429343e-03	-7.066506e-03
  2.13	+4.00144482e-02	-8.51484828e-02	+9.87091061e-03	-2.05887987e-03	-6.345377e-03
  2.14	+3.91630075e-02	-8.40893790e-02	+9.85031351e-03	-2.25802597e-03	-5.639991e-03
  2.15	+3.83221576e-02	-8.30345195e-02	+9.82772518e-03	-2.45181228e-03	-4.950148e-03
  2.16	+3.74918562e-02	-8.19840685e-02	+9.80319920e-03	-2.64031878e-03	-4.275648e-03
  2.17	+3.66720591e-02	-8.09381853e-02	+9.77678837e-03	-2.82362487e-03	-3.616292e-03
  2.18	+3.58627206e-02	-7.98970239e-02	+9.74854470e-03	-3.00180933e-03	-2.971881e-03
  2.19	+3.50637936e-02	-7.88607337e-02	+9.71851939e-03	-3.17495035e-03	-2.342220e-03
  2.20	+3.42752292e-02	-7.78294591e-02	+9.68676288e-03	-3.34312552e-03	-1.727112e-03
  2.21	+3.34969774e-02	-7.68033399e-02	+9.65332482e-03	-3.50641181e-03	-1.126363e-03
  2.22	+3.27289865e-02	-7.57825111e-02	+9.61825409e-03	-3.66488560e-03	-5.397785e-04
  2.23	+3.19712037e-02	-7.47671031e-02	+9.58159883e-03	-3.81862260e-03	+3.283401e-05
  2.24	+3.12235748e-02	-7.37572420e-02	+9.54340639e-03	-3.96769795e-03	+5.916660e-04
  2.25	+3.04860442e-02	-7.27530493e-02	+9.50372339e-03	-4.11218613e-03	+1.136908e-03
  2.26	+2.97585553e-02	-7.17546421e-02	+9.46259570e-03	-4.25216099e-03	+1.668749e-03
  2.27	+2.90410502e-02	-7.07621334e-02	+9.42006844e-03	-4.38769576e-03	+2.187377e-03
  2.28	+2.83334700e-02	-6.97756318e-02	+9.37618601e-03	-4.51886300e-03	+2.692980e-03
  2.29	+2.76357545e-02	-6.87952420e-02	+9.33099210e-03	-4.64573466e-03	+3.185742e-03
  2.30	+2.69478427e-02	-6.78210643e-02	+9.28452964e-03	-4.76838202e-03	+3.665849e-03
  2.31	+2.62696724e-02	-6.68531954e-02	+9.23684088e-03	-4.88687574e-03	+4.133483e-03
  2.32	+2.56011805e-02	-6.58917278e-02	+9.18796736e-03	-5.00128580e-03	+4.588827e-03
  2.33	+2.49423030e-02	-6.49367503e-02	+9.13794990e-03	-5.11168155e-03	+5.032061e-03
  2.34	+2.42929750e-02	-6.39883478e-02	+9.08682864e-03	-5.21813168e-03	+5.463365e-03
  2.35	+2.36531308e-02	-6.30466017e-02	+9.03464305e-03	-5.32070422e-03	+5.882917e-03
  2.36	+2.30227037e-02	-6.21115896e-02	+8.98143189e-03	-5.41946653e-03	+6.290894e-03
  2.37	+2.24016265e-02	-6.11833856e-02	+8.92723327e-03	-5.51448535e-03	+6.687470e-03
  2.38	+2.17898310e-02	-6.02620602e-02	+8.87208461e-03	-5.60582673e-03	+7.072820e-03
  2.39	+2.11872485e-02	-5.93476805e-02	+8.81602269e-03	-5.69355605e-03	+7.447118e-03
  2.40	+2.05938095e-02	-5.84403105e-02	+8.75908362e-03	-5.77773807e-03	+7.810534e-03
  2.41	+2.00094440e-02	-5.75400104e-02	+8.70130287e-03	-5.85843685e-03	+8.163238e-03
  2.42	+1.94340811e-02	-5.66468377e-02	+8.64271528e-03	-5.93571581e-03	+8.505398e-03
  2.43	+1.88676496e-02	-5.57608462e-02	+8.58335504e-03	-6.00963770e-03	+8.837183e-03
  2.44	+1.83100778e-02	-5.48820870e-02	+8.52325572e-03	-6.08026460e-03	+9.158758e-03
  2.45	+1.77612932e-02	-5.40106078e-02	+8.46245027e-03	-6.14765795e-03	+9.470288e-03
  2.46	+1.72212231e-02	-5.31464538e-02	+8.40097101e-03	-6.21187851e-03	+9.771934e-03
  2.47	+1.66897943e-02	-5.22896667e-02	+8.33884968e-03	-6.27298638e-03	+1.006386e-02
  2.48	+1.61669330e-02	-5.14402857e-02	+8.27611740e-03	-6.33104102e-03	+1.034622e-02
  2.49	+1.56525652e-02	-5.05983472e-02	+8.21280469e-03	-6.38610121e-03	+1.061919e-02
  2.50	+1.51466165e-02	-4.97638845e-02	+8.14894151e-03	-6.43822507e-03	+1.088290e-02
  2.51	+1.46490122e-02	-4.89369286e-02	+8.08455720e-03	-6.48747008e-03	+1.113753e-02
  2.52	+1.41596770e-02	-4.81175077e-02	+8.01968057e-03	-6.53389305e-03	+1.138323e-02
  2.53	+1.36785358e-02	-4.73056474e-02	+7.95433982e-03	-6.57755014e-03	+1.162014e-02
  2.54	+1.32055128e-02	-4.65013708e-02	+7.88856261e-03	-6.61849687e-03	+1.184842e-02
