  t[s]	          x1[m]	        x2[m/s]	        x3[rad]	      x4[rad/s]	        F[N]
  1.07	-5.64915321e-01	+3.40735099e-01	+4.01722239e+00	+2.09259406e+00	+2.000000e+00
  1.08	-5.61507299e-01	+3.56833232e-01	+4.03814209e+00	+1.94298163e+00	+2.000000e+00
  1.09	-5.57938292e-01	+3.73035903e-01	+4.05756555e+00	+1.79031617e+00	+2.000000e+00
  1.10	-5.54207253e-01	+3.89347010e-01	+4.07546224e+00	+1.63490966e+00	+2.000000e+00
  1.11	-5.50313099e-01	+4.05762824e-01	+4.09180475e+00	+1.47705655e+00	+2.000000e+00
  1.12	-5.46254783e-01	+4.22272725e-01	+4.10656865e+00	+1.31703555e+00	+2.000000e+00
  1.13	-5.42031364e-01	+4.38859955e-01	+4.11973226e+00	+1.15511127e+00	+2.000000e+00
  1.14	-5.37642071e-01	+4.55502372e-01	+4.13127656e+00	+9.91535799e-01	+2.000000e+00
  1.15	-5.33086353e-01	+4.72173184e-01	+4.14118504e+00	+8.26550223e-01	+2.000000e+00
  1.16	-5.28363927e-01	+4.88841674e-01	+4.14944362e+00	+6.60386006e-01	+2.000000e+00
  1.17	-5.23474817e-01	+5.05473906e-01	+4.15604052e+00	+4.93266292e-01	+2.000000e+00
  1.18	-5.18421952e-01	+4.60503608e-01	+4.16096316e+00	+2.52673535e-01	-2.000000e+00
  1.19	-5.13818755e-01	+4.16347207e-01	+4.16347992e+00	+1.33529740e-02	-2.000000e+00
  1.20	-5.09657094e-01	+3.72890599e-01	+4.16360353e+00	-2.24764764e-01	-2.000000e+00
  1.21	-5.05929974e-01	+3.30022683e-01	+4.16134601e+00	-4.61738895e-01	-2.000000e+00
  1.22	-5.02631514e-01	+2.87635971e-01	+4.15671879e+00	-6.97616747e-01	-2.000000e+00
  1.23	-4.99756904e-01	+2.45627222e-01	+4.14973284e+00	-9.32431963e-01	-2.000000e+00
  1.24	-4.97302371e-01	+2.03898097e-01	+4.14039878e+00	-1.16620254e+00	-2.000000e+00
  1.25	-4.95265121e-01	+1.62355892e-01	+4.12872705e+00	-1.39892860e+00	-2.000000e+00
  1.26	-4.93643288e-01	+1.20914355e-01	+4.11472812e+00	-1.63058976e+00	-2.000000e+00
  1.27	-4.92435871e-01	+7.94946335e-02	+4.09841261e+00	-1.86114211e+00	-2.000000e+00
  1.28	-4.91642652e-01	+3.80263511e-02	+4.07979163e+00	-2.09051454e+00	-2.000000e+00
  1.29	-4.91264121e-01	-3.55113975e-03	+4.05887698e+00	-2.31860446e+00	-2.000000e+00
  1.30	-4.91301372e-01	-4.52873319e-02	+4.03568150e+00	-2.54527275e+00	-2.000000e+00
  1.31	-4.91755992e-01	-8.72189428e-02	+4.01021939e+00	-2.77033790e+00	-2.000000e+00
  1.32	-4.92629938e-01	-1.29368098e-01	+3.98250671e+00	-2.99356923e+00	-2.000000e+00
  1.33	-4.93925384e-01	-1.71740324e-01	+3.95256180e+00	-3.21467921e+00	-2.000000e+00
  1.34	-4.95644562e-01	-2.14322377e-01	+3.92040590e+00	-3.43331495e+00	-2.000000e+00
  1.35	-4.97789567e-01	-2.57079950e-01	+3.88606376e+00	-3.64904891e+00	-2.000000e+00
  1.36	-5.00362153e-01	-2.99955320e-01	+3.84956443e+00	-3.86136911e+00	-2.000000e+00
  1.37	-5.03363494e-01	-3.42865063e-01	+3.81094206e+00	-4.06966927e+00	-2.000000e+00
  1.38	-5.06793929e-01	-3.85697967e-01	+3.77023688e+00	-4.27323947e+00	-2.000000e+00
  1.39	-5.10652685e-01	-4.28313356e-01	+3.72749624e+00	-4.47125803e+00	-2.000000e+00
  1.40	-5.14937578e-01	-4.70540071e-01	+3.68277568e+00	-4.66278601e+00	-2.000000e+00
  1.41	-5.19644713e-01	-5.12176422e-01	+3.63614015e+00	-4.84676529e+00	-2.000000e+00
  1.42	-5.24768178e-01	-5.52991447e-01	+3.58766519e+00	-5.02202213e+00	-2.000000e+00
  1.43	-5.30299748e-01	-5.92727849e-01	+3.53743809e+00	-5.18727775e+00	-2.000000e+00
  1.44	-5.36228626e-01	-6.31106925e-01	+3.48555890e+00	-5.34116740e+00	-2.000000e+00
  1.45	-5.42541226e-01	-6.67835757e-01	+3.43214134e+00	-5.48226944e+00	-2.000000e+00
